28/08/26 15:50,10,9,15,8
28/08/26 16:00,10,6,12,15
28/08/26 16:10,10,8,4,8
28/08/26 16:20,10,9,7,7
28/08/26 16:30,10,1,6,4
28/08/26 16:40,10,2,5,0
28/08/26 16:50,10,6,9,2
28/08/26 17:00,10,9,9,13
28/08/26 17:10,10,10,9,6
28/08/26 17:20,10,8,13,6
28/08/26 17:30,10,7,11,11
28/08/26 17:40,10,9,9,10
28/08/26 17:50,10,15,9,21
28/08/26 18:00,10,6,3,6
28/08/26 18:10,10,5,3,7
28/08/26 18:12,02,,
28/08/26 18:12,01,,
28/08/26 18:12,12,,
28/08/26 18:18,02,,
28/08/26 18:19,01,,
28/08/26 18:20,10,6,8,4
28/08/26 18:19,02,,
28/08/26 18:25,01,,
28/08/26 18:25,12,,
28/08/26 18:30,10,1,5,2
28/08/26 18:40,10,4,4,5
28/08/26 18:50,10,6,4,6
28/08/26 18:56,12,,
28/08/26 19:00,10,0,4,4
28/08/26 19:10,10,2,1,11
28/08/26 19:20,10,0,0,3
28/08/26 19:30,10,0,0,0
28/08/26 19:40,10,0,0,0
28/08/26 19:50,10,0,0,0
28/08/26 20:00,10,0,0,0
29/08/26 08:00,14,,
29/08/26 08:00,12,,
29/08/26 08:01,28,27,
29/08/26 08:10,10,0,0,0
29/08/26 08:20,10,0,0,0
29/08/26 08:30,10,1,1,0
29/08/26 08:40,10,0,1,0
29/08/26 08:50,10,0,1,0
29/08/26 09:00,10,0,1,0
29/08/26 09:10,10,0,1,0
29/08/26 09:20,10,0,1,0
29/08/26 09:30,10,0,1,1
29/08/26 09:40,10,0,0,0
29/08/26 09:50,10,6,6,0
29/08/26 10:00,10,12,18,0
29/08/26 10:10,10,10,20,9
29/08/26 10:20,10,12,26,11
29/08/26 10:30,10,5,21,12
29/08/26 10:40,10,5,17,2
29/08/26 10:50,10,3,17,5
29/08/26 11:00,10,6,16,9
29/08/26 11:10,10,12,20,10
29/08/26 11:15,12,,
29/08/26 11:20,10,15,15,13
29/08/26 11:30,10,8,17,8
29/08/26 11:40,10,18,23,10
